tiempo,tokens_circulacion
32493.0539025949,313
32720.30216406014,312
33093.42230796938,312
33099.28016937899,312
33099.81422250532,313
33105.12902236103,313
33110.44636875935,313
33194.84933749367,314
33195.14166488482,315
33360.26622862661,316
33440.46833470944,317
33440.86123925363,318
33523.06145762757,319
33523.43375614695,320
33891.101485175706,321
34054.12067945489,322
34265.95902273647,322
34385.79325812636,322
34386.1362774281,323
34466.3202401176,324
34543.65312947107,325
34686.92420798345,326
34932.250113817165,326
35255.230967435666,327
35415.678433416375,328
35421.008816949594,328
35421.42771667446,329
35444.72603328356,330
35500.1191819612,330
35579.98042592496,330
35580.507542968655,331
35656.672200564455,332
35657.13272147099,333
35657.67087375419,334
35802.494201189904,334
35802.90532258116,335
35803.303487076446,336
35962.87417216916,337
35963.114629186486,338
35963.65276422959,339
36336.87392723377,340
36526.51265410038,340
36730.83279108112,340
36920.43730603115,340
37000.28781266507,340
37129.7133381707,340
37281.99052869332,340
37427.81809887253,339
37696.39736376375,339
37726.98299445109,339
38536.37080872453,340
38536.61672796776,341
38586.89379143933,340
38674.18086104502,341
38752.63711669981,341
38779.92695283469,342
38877.40455601249,342
